Date,Open,High,Low,Close,Adj Close,Volume
2021-12-20,90.000000,90.099998,88.169998,89.980003,89.594185,6013200
2021-12-21,90.720001,93.669998,90.720001,93.059998,92.660973,7617700
2021-12-22,92.919998,93.709999,92.160004,93.070000,92.670929,4663900
2021-12-23,93.300003,94.540001,93.300003,94.000000,93.596947,3885500
2021-12-27,93.629997,94.669998,93.449997,94.620003,94.214294,3428900
2021-12-28,94.430000,96.080002,94.239998,95.300003,94.891373,4051900
2021-12-29,95.000000,95.480003,94.440002,94.790001,94.383553,3490500
2021-12-30,94.660004,95.980003,94.529999,94.699997,94.293938,3269000
2021-12-31,94.500000,94.970001,93.900002,94.470001,94.064926,3795700
2022-01-03,95.220001,97.440002,94.750000,96.239998,95.827347,4619800
2022-01-04,98.779999,100.050003,98.089996,99.370003,98.943924,7624100
2022-01-05,99.730003,101.790001,99.290001,99.370003,98.943924,5894700
2022-01-06,100.449997,101.080002,99.419998,99.949997,99.521439,4277000
2022-01-07,99.800003,102.239998,99.769997,101.400002,100.965210,6248300
2022-01-10,101.720001,102.000000,98.940002,99.419998,98.993706,5768700
2022-01-11,100.290001,102.370003,99.970001,101.790001,101.353539,5673900
2022-01-12,101.430000,102.620003,101.379997,102.239998,101.801613,4558500
2022-01-13,102.290001,103.650002,101.800003,102.459999,102.020668,4382500
2022-01-14,101.660004,103.269997,100.910004,103.160004,102.717667,4380300
2022-01-18,102.559998,103.730003,102.160004,102.889999,102.448822,8410600
2022-01-19,102.690002,102.989998,100.470001,100.620003,100.188560,5699000
2022-01-20,100.230003,101.790001,97.970001,98.250000,97.828720,5635500
2022-01-21,97.699997,98.349998,95.860001,96.300003,95.887077,8077400
2022-01-24,94.589996,97.440002,92.290001,96.910004,96.494469,9873300
2022-01-25,91.120003,92.360001,88.300003,91.110001,90.719337,20952000
2022-01-26,91.510002,91.910004,88.050003,89.320000,88.937012,10637200
2022-01-27,90.000000,91.769997,88.070000,89.900002,89.514526,7804600
2022-01-28,89.300003,92.160004,88.849998,92.099998,91.705093,6478600
2022-01-31,91.610001,94.559998,91.029999,94.480003,94.074890,7001600
2022-02-01,95.000000,98.419998,94.750000,97.949997,97.530006,8149200
2022-02-02,97.669998,98.580002,96.160004,98.040001,97.619621,5561400
2022-02-03,97.150002,99.160004,96.550003,98.320000,97.898422,6213300
2022-02-04,97.699997,100.050003,97.639999,99.010002,98.585464,6403600
2022-02-07,99.370003,100.589996,98.500000,99.900002,99.471649,4385700
2022-02-08,99.980003,100.500000,98.629997,99.309998,98.884178,5158400
2022-02-09,100.250000,100.470001,99.120003,99.250000,98.824432,6624200
2022-02-10,98.389999,100.680000,98.000000,98.790001,98.366409,5512900
2022-02-11,99.019997,100.230003,96.169998,96.830002,96.414810,7455500
2022-02-14,96.709999,97.400002,95.559998,96.599998,96.185791,6960800
2022-02-15,97.989998,101.379997,97.949997,100.919998,100.487274,6692400
